Pricelist,Vendor,Category,Product,Package Name,Inventory,Item Unit,Charge Unit,# of Items,Purchase Price,Retail Price,Margin,Markup
herdshare,River Ranch Oregon Olive OIl,Dry Goods,2022 Arbequina  Olive Oil 100mL,Ea.,product,ea,ea,1,8.95,11.9,25,33
herdshare,Red Tail Growers,Organic Vegetables - Leafy Greens,Arugula,1/2 lb bag,product,bag,bag,1,4,5.32,25,33
herdshare,Deck Family Farm,Pasture-raised Pork,Baby Back Ribs,0.90 - 1.50 lbs,product,pk,pk,1,14.04,19.38,28,38
herdshare,Red Tail Growers,Organic Vegetables - Broccoli/Cauliflower/Cabbage,Baby Bok Choi,each,product,bu,bu,1,1.85,2.5,26,35
herdshare,Deck Family Farm,Sausages & Cured Meats,"Bacon Ends & Pieces, Pork",8 oz,product,pk,pk,1,9.43,10.66,12,13
herdshare,Deck Family Farm,Sausages & Cured Meats,"Bacon, Pork",8 oz,product,pk,pk,1,11.38,15.7,28,38
herdshare,Sweet Creek,Dry Goods,Basil Tomato Sauce,16 oz,product,ea,ea,1,3.76,5.08,26,35
herdshare,Deck Family Farm,Grass-fed Beef,Bavette Steak,0.9 - 1.6 lbs,product,pk,pk,1,21.13,29.16,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Back Ribs,3.00 - 3.80 lbs,product,ea,ea,1,35.36,48.8,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Bones,3.00 - 5.00 lbs,product,pk,pk,1,7.15,9.87,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Flat Iron Steak,0.70 - 1.10 lbs,product,ea,ea,1,15.21,20.99,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Heart,2.50 - 3.5 lbs,product,ea,ea,1,18.53,25.57,28,38
herdshare,Deck Family Farm,Organ Meat & Lard,Beef Kidney,0.80 - 1.00 lbs,product,pk,pk,1,15.21,20.99,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Liver,0.90 - 1.30 lbs,product,pk,pk,1,18.59,25.65,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Marrow Bones,3.00 - 5.00 lbs,product,pk,pk,1,9.75,13.46,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Oxtail,1.40 - 1.90 lbs,product,ea,ea,1,13.94,19.24,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Shank Osso Buco,2.10 - 2.40 lbs,product,ea,ea,1,28.52,39.36,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Beef Stew Meat,0.90 - 1.10 lbs,product,ea,ea,1,12.03,16.6,28,38
