Priceslist,Vendor,Category,Product,Inventory,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin,Markup
members,Deck Family Farm,Sausages & Cured Meats,Pepperoni Sticks,0,Y,pk,package,6 oz,1,20.5,17,-21,-17
members,Sweet Creek,Dry Goods,Jalapeno Relish,6,Y,ea,package,each,1,10.5,10.5,0,0
members,Camas Country Mill,Dry Goods,Camas Pizza Blend,2,Y,ea,package,4 lbs,1,10.3,12,14,17
members,Camas Country Mill,Dry Goods,Hollys Dog Biscuit Mix,8,Y,bag,package,3 lb bag,1,10,12,17,20
members,River Ranch Oregon Olive OIl,Dry Goods,Dry Herb Mix,32,Y,ea,package,ea 1 ounce jar,1,7,9,22,29
members,Deck Family Farm,"Organs/Lard/Bones, Spring Lamb",Lamb Bones,,Y,pk,package,3 - 5 Lbs,1,6.5,8.32,22,28
members,Deck Family Farm,Spring Lamb,Lamb Ribs,0,Y,ea,package,1.4-1.9 lb,1,19.84,25.4,22,28
members,Sweet Creek,Dry Goods,Blackberry Fruit Spread,0,Y,ea,package,10 oz,1,3.8,5,24,32
members,Camas Country Mill,Dry Goods,Organic Corn Flour,9,Y,ea,package,2.5 lbs,1,10.6,13.99,24,32
members,Sweet Creek,Dry Goods,Strawberry Fruit Spread,0,Y,ea,package,10 oz,1,3.8,5,24,32
members,RL Plants,Home Goods,Birch Wooden Coasters,1,Y,pk,package,2 pack,1,10,13.3,25,33
members,Elegant Elephant Baking Co.,Dry Goods,Blackberry Hand Pie,0,Y,ea,package,each,1,2.95,3.92,25,33
members,Spoiled Rotten Vinegar,Dry Goods,Blackberry Vinegar,0,Y,ea,package,8 fl. oz,1,7,9.31,25,33
members,Spoiled Rotten Vinegar,Dry Goods,Blackstrap Vinegar,4,Y,ea,package,8 fl. oz,1,8,10.64,25,33
members,Sweet Creek,Dry Goods,Blueberry Fruit Spread,13,Y,ea,package,10 oz,1,3.8,5.05,25,33
members,OGC,Organic Fruit,Bosc Pear,59,Y,ea,package,ea,1,0.75,1,25,33
members,Elegant Elephant Baking Co.,Dry Goods,Box of 5 Cupcakes,0,Y,ea,package,each,1,6,7.98,25,33
members,Radiant Coffee Roasters,Dry Goods,Brazil Cerrado Miniero - Dark Roast Coffee Beans,2,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Brazil Cerrado Miniero - Dark Roast Ground Coffee,11,Y,ea,package,12 oz,1,11,14.63,25,33
members,Lone Wolf Ranch,Organic Vegetables - Leafy Greens,Broccoli Microgreens,,Y,pk,package,1 oz. pk,1,2.5,3.33,25,33
members,OGC,Organic Vegetables - Roots,Celeriac,38,Y,pound,package,1 lb,1,1.7,2.26,25,33
members,Reality Kitchen Nonprofit,Dry Goods,Challah Sandwich Loaf,0,Y,ea,package,each,1,6,7.98,25,33
